id,parlperiod__n,region__name
10470,2,Bremen
10471,3,Bremen
10482,14,Bremen
10483,15,Bremen
10479,9,Bremen
10457,10,Bremen
10484,16,Bremen
10486,16,Saxony-Anhalt
10505,16,Mecklenburg-Vorpommern
10503,18,Hesse
10511,18,Brandenburg
10495,18,Rheinland-Pfalz
10512,16,Berlin
10475,13,Mecklenburg-Vorpommern
10485,17,Bremen
10467,17,Rheinland-Pfalz
10469,17,Schleswig-Holstein
10455,17,Mecklenburg-Vorpommern
10463,15,Mecklenburg-Vorpommern
10509,19,Bavaria
10496,19,Rheinland-Pfalz
10521,19,Saarland
10464,19,North Rhine-Westphalia
10513,18,Hamburg
10473,19,Schleswig-Holstein
10500,18,Saxony-Anhalt
10493,15,Saarland
10456,15,Lower Saxony
10506,18,Mecklenburg-Vorpommern
10499,17,Brandenburg
10518,18,Saxony
10490,2,Saarland
10507,19,Mecklenburg-Vorpommern
10461,4,Saarland
10501,19,Saxony-Anhalt
10519,19,Saxony
10474,11,Saarland
10489,19,Hesse
10516,19,Berlin
10515,18,Berlin
10476,4,Bremen
10472,5,Bremen
10480,7,Bremen
10458,11,Bremen
10478,8,Bremen
10520,19,Brandenburg
10477,19,Thuringia
10468,17,Hesse
10514,19,Hamburg
10502,19,Baden-Württemberg
10491,17,Berlin
10517,17,Hamburg
10466,12,Bremen
10488,15,Rheinland-Pfalz
10497,18,Bavaria
10487,15,Berlin
10498,18,Bremen
10460,17,Baden-Württemberg
10465,17,Bavaria
10459,18,North Rhine-Westphalia
10504,18,Schleswig-Holstein
10481,13,Bremen
10494,16,Saarland
10510,16,Thuringia
10462,14,Mecklenburg-Vorpommern
10522,19,Bremen
10492,14,Saarland
10508,17,Saxony-Anhalt
10342,10,Schleswig-Holstein
10400,10,Saarland
10399,6,Saarland
10394,1,Berlin
10315,6,Schleswig-Holstein
10349,5,Saarland
10375,13,Saxony-Anhalt
10376,14,Saxony-Anhalt
10408,15,Saxony-Anhalt
10409,9,Saarland
10417,16,Rheinland-Pfalz
10411,16,Lower Saxony
10289,1,Bremen
10370,10,Rheinland-Pfalz
10405,11,Rheinland-Pfalz
10382,8,Saarland
10412,17,Lower Saxony
10418,14,Rheinland-Pfalz
10373,14,Berlin
10413,18,Lower Saxony
10414,19,Lower Saxony
10389,16,Schleswig-Holstein
10410,16,Baden-Württemberg
10422,16,Brandenburg
10379,5,Schleswig-Holstein
10423,14,Brandenburg
10287,14,Baden-Württemberg
10332,14,Schleswig-Holstein
10366,10,Berlin
10314,9,Berlin
10424,15,Brandenburg
10334,1,Schleswig-Holstein
10425,18,Baden-Württemberg
10341,7,Schleswig-Holstein
10374,8,Schleswig-Holstein
10331,9,Schleswig-Holstein
10343,11,Schleswig-Holstein
10385,12,Schleswig-Holstein
10338,15,Baden-Württemberg
10333,15,Schleswig-Holstein
10306,12,Rheinland-Pfalz
10326,1,Rheinland-Pfalz
10427,12,Mecklenburg-Vorpommern
10416,13,Rheinland-Pfalz
10421,13,Brandenburg
10372,13,Berlin
10361,13,Schleswig-Holstein
10377,14,Bavaria
10390,14,Hesse
10433,14,Hamburg
10437,16,Hesse
10435,16,Hamburg
10441,16,Bavaria
10384,8,Hamburg
10439,13,Hamburg
10300,2,Hamburg
10436,15,Hesse
10434,15,Hamburg
10430,17,Saarland
10426,17,North Rhine-Westphalia
10407,15,Bavaria
10431,18,Saarland
10282,4,Rheinland-Pfalz
10432,7,Saarland
10286,13,Baden-Württemberg
10419,10,Hamburg
10319,11,Hamburg
10386,12,Hamburg
10330,13,Hesse
10429,13,Saarland
10280,2,Rheinland-Pfalz
10367,11,Berlin
10283,12,Brandenburg
10395,12,Saxony-Anhalt
10397,1,Lower Saxony
10428,12,Saarland
10292,10,Lower Saxony
10327,10,Hesse
10290,5,Lower Saxony
10321,5,Hamburg
10387,7,Hesse
10348,8,Hesse
10371,2,Berlin
10357,9,Hesse
10362,3,Berlin
10305,7,Lower Saxony
10340,4,Hesse
10291,9,Lower Saxony
10391,12,Lower Saxony
10443,14,Thuringia
10339,3,Hesse
10304,6,Lower Saxony
10275,3,North Rhine-Westphalia
10276,4,North Rhine-Westphalia
10297,12,North Rhine-Westphalia
10277,5,North Rhine-Westphalia
10278,6,North Rhine-Westphalia
10356,7,Bavaria
10325,9,North Rhine-Westphalia
10302,2,Bavaria
10316,8,Lower Saxony
10322,6,Hamburg
10303,3,Bavaria
10450,15,Saxony
10279,7,North Rhine-Westphalia
10323,7,Hamburg
10310,11,Bavaria
10346,4,Bavaria
10353,8,North Rhine-Westphalia
10335,2,Schleswig-Holstein
10447,6,Bremen
10296,2,North Rhine-Westphalia
10392,15,North Rhine-Westphalia
10317,9,Baden-Württemberg
10284,11,Baden-Württemberg
10449,14,Saxony
10369,9,Rheinland-Pfalz
10308,9,Bavaria
10380,3,Hamburg
10381,4,Hamburg
10318,10,Baden-Württemberg
10398,12,Saxony
10401,9,Hamburg
10299,14,North Rhine-Westphalia
10446,14,Lower Saxony
10438,12,Thuringia
10312,7,Berlin
10359,1,Hesse
10403,6,Rheinland-Pfalz
10285,12,Baden-Württemberg
10451,16,Saxony
10453,1,Hamburg
10309,10,Bavaria
10328,11,Hesse
10329,12,Hesse
10393,16,North Rhine-Westphalia
10368,8,Rheinland-Pfalz
10360,2,Hesse
10358,1,Baden-Württemberg
10337,3,Saarland
10293,11,Lower Saxony
10320,4,Berlin
10324,5,Berlin
10295,7,Baden-Württemberg
10350,8,Baden-Württemberg
10444,17,Thuringia
10383,7,Rheinland-Pfalz
10352,10,North Rhine-Westphalia
10288,1,North Rhine-Westphalia
10351,12,Berlin
10452,17,Saxony
10345,5,Bavaria
10354,11,North Rhine-Westphalia
10311,6,Berlin
10445,18,Thuringia
10454,15,Thuringia
10313,8,Berlin
10344,2,Baden-Württemberg
10402,5,Rheinland-Pfalz
10406,13,Bavaria
10442,13,Thuringia
10404,12,Bavaria
10347,6,Bavaria
10281,3,Rheinland-Pfalz
10336,3,Schleswig-Holstein
10415,4,Schleswig-Holstein
10388,4,Lower Saxony
10355,3,Baden-Württemberg
10365,5,Baden-Württemberg
10378,4,Baden-Württemberg
10307,8,Bavaria
10301,1,Bavaria
10396,13,Lower Saxony
10363,2,Lower Saxony
10364,3,Lower Saxony
10294,6,Baden-Württemberg
10448,13,Saxony
10298,13,North Rhine-Westphalia
10420,5,Hesse
10440,6,Hesse
